NR90	spc	sample	cpm	data	FMT_group	name	prot
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_29	0	shotgun_metagenomics	FMT_grp_2	before_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_31	3.32037	shotgun_metagenomics	FMT_grp_1	after_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_32	0	shotgun_metagenomics	FMT_grp_3	before_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_34	0	shotgun_metagenomics	FMT_grp_4	before_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_35	0	shotgun_metagenomics	FMT_grp_5	before_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_36	6.32966	shotgun_metagenomics	FMT_grp_3	after_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_39	0	shotgun_metagenomics	FMT_grp_2	after_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_40	0	shotgun_metagenomics	FMT_grp_4	after_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_41	0	shotgun_metagenomics	FMT_grp_5	after_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_45	0	shotgun_metagenomics	FMT_grp_7	before_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_46	0	shotgun_metagenomics	FMT_grp_6	before_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_48	0	shotgun_metagenomics	FMT_grp_9	before_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_51	0	shotgun_metagenomics	FMT_grp_10	before_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_52	0	shotgun_metagenomics	FMT_grp_6	after_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_53	0	shotgun_metagenomics	FMT_grp_8	after_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_54	0	shotgun_metagenomics	FMT_grp_11	before_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_56	0	shotgun_metagenomics	FMT_grp_10	after_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_57	0	shotgun_metagenomics	FMT_grp_7	after_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_58	0	shotgun_metagenomics	FMT_grp_9	after_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_60	0	shotgun_metagenomics	FMT_grp_11	after_FMT	Proline Transport protein
UniRef90_A0A2A7AFW6	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_1-892	11.6545	shotgun_metagenomics	FMT_grp_1	donor	Proline Transport protein
UniRef90_A0A2A7AFW6	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_11-821	5.75849	shotgun_metagenomics	FMT_grp_10	donor	Proline Transport protein
UniRef90_A0A2A7AFW6	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_12-1052	17.2404	shotgun_metagenomics	FMT_grp_11	donor	Proline Transport protein
UniRef90_A0A2A7AFW6	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_2-901	10.1214	shotgun_metagenomics	FMT_grp_2	donor	Proline Transport protein
UniRef90_A0A2A7AFW6	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_3-911	6.26559	shotgun_metagenomics	FMT_grp_3	donor	Proline Transport protein
UniRef90_A0A2A7AFW6	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_4-913	5.70284	shotgun_metagenomics	FMT_grp_4	donor	Proline Transport protein
UniRef90_A0A2A7AFW6	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_5-915	14.8415	shotgun_metagenomics	FMT_grp_5	donor	Proline Transport protein
UniRef90_A0A2A7AFW6	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_6-955	5.98611	shotgun_metagenomics	FMT_grp_6	donor	Proline Transport protein
UniRef90_A0A2A7AFW6	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_6-955	5.98611	shotgun_metagenomics	FMT_grp_8	donor	Proline Transport protein
UniRef90_A0A2A7AFW6	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_7-983	14.0168	shotgun_metagenomics	FMT_grp_7	donor	Proline Transport protein
UniRef90_A0A2A7AFW6	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_8-964	19.2725	shotgun_metagenomics	FMT_grp_9	donor	Proline Transport protein
