clade	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3-911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
k__Bacteria|p__Firmicutes|c__CFGB79294|o__OFGB79294	0.28331	0.20243	0	0.09811	0.6322	0	0	1.03605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	0.24279	0.05247	0	0.02926	0.3144	0.03061	0	0	0	0	0	0	0.10744	0	0	0	0	0	4.26057	0.00197	0	0	0	0	0	0	0	0	0	0	0.11192
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.20322	1.4348	1.52517	1.67348	0.09496	1.05775	1.47618	0.72912	0.85328	2.12024	1.08313	3.00177	0.0056	3.6212	0.35856	23.10657	0.21527	2.55588	0	2.82249	9.60666	7.7842	1.9829	31.09764	0.94263	0	38.4003	0.605	0.72907	0.0291	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.18903	0.05853	0.00062	0.23591	0.0873	0	0.00232	0.14144	0	0.00533	1.73411	0	0.29706	2.13061	4.65913	0	0.78817	0.99543	0.34451	0.19181	0	5.97319	0	0	0.22214	0.14967	0	0.42559	0.17774	0.10362	0.22705
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	0.17032	0.11486	0	0.06851	0.07898	0.03844	0	0.08692	0	0	0	0	0	0	0	0	0	0	0.00835	0.00346	0	0	0	0	0	0.01628	0	0.00011	0	0.00532	0.97558
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	0.11929	0.21752	0	0.30929	0.00418	0.0093	0.00692	0.55286	0	0	0	0	0	0	0	0	0	0.12281	0	0	0	0	0	0	0.03	0.05409	0	0.39408	0.37827	0	0
k__Bacteria|p__Firmicutes|c__CFGB79291|o__OFGB79291	0.10136	0.02181	0.15083	0.04069	0.14241	0.22705	0.42486	0.07204	0.07214	0.00747	0	0	0	0	0	0	0	0	0.02377	0.00912	0	0	0	0	0.01722	0.01573	0	0	0.06696	0.07721	0.57935
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.09665	0	0	0.03339	0.05362	0	0	0.13118	0	0	0.47179	0	0.24116	13.99076	11.40071	8.69841	0.56593	2.71564	1.19179	0.99556	0	2.03785	0	5.57812	2.36003	1.44941	0.23348	0.51467	1.65355	1.11001	0.31929
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	0.07261	0.05228	0	0.01788	0.00963	0	0	0.14013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0601	0	0.04061	0	0	1.89729
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	0.06251	0.00611	0.00763	0.0078	0.07447	0.00704	0.01406	0.13322	0.0027	0	0	0	0.01751	0	0	0	0	0	0.00061	0	0	0	0	0	0.13321	0.02492	0	0.00453	0	0.0055	0.27359
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.06045	0	0.02633	0	0.00088	0.02546	0.03479	0	0.01663	0.00085	62.24154	6.65217	0	70.89324	70.59997	19.2118	1.03101	0.006	0.28323	0.01015	84.5084	72.33039	0.15554	43.37001	0	0	56.72501	0.97046	0.00328	0.01277	0
